id,end_station,dest_y,dest_x,count
387,Leonard St & Meeker Ave,40.7173184,-73.94820213,10
388,Lewis Ave & Decatur St,40.6814598,-73.934903,8
389,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,14
390,Lewis Ave & Madison St,40.686312,-73.935775,23
391,Lexington Ave & Classon Ave,40.68676793,-73.95928168,14
392,Lexington Ave & E 24 St,40.74025878,-73.98409214,115
393,Lexington Ave & E 29 St,40.74311555,-73.98215353,94
394,Lexington Ave & E 63 St,40.76440023,-73.96648977,21
395,Liberty St & Broadway,40.70905623,-74.01043382,71
396,Lispenard St & Broadway,40.71939226,-74.00247214,91
397,Little West St & 1 Pl,40.70569254,-74.01677685,75
398,Lorimer St & Broadway,40.70411791,-73.94818595,19
399,MacDougal St & Prince St,40.72710258,-74.00297088,194
400,MacDougal St & Washington Sq,40.73226398,-73.99852205,143
401,Macon St & Nostrand Ave,40.68098339,-73.95004798,60
402,Madison Ave & E 82 St,40.7781314,-73.96069399,0
403,Madison Ave & E 99 St,40.78948542,-73.95242929,8
404,Madison St & Clinton St,40.71269042,-73.98776323,55
405,Madison St & Montgomery St,40.713126,-73.984844,20
406,Maiden Ln & Pearl St,40.70706456,-74.00731853,26
407,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,4
408,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,11
409,Marin Light Rail,40.7148245,-74.04298067,0
410,Market St & Cherry St,40.71076228,-73.99400398,20
411,McGuinness Blvd & Eagle St,40.73555,-73.95284,38
412,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,9
413,Mercer St & Bleecker St,40.72706363,-73.99662137,131
414,Mercer St & Spring St,40.72362738,-73.99949601,44
415,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,41
416,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,133
417,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,143
418,Milton St & Franklin St,40.72906,-73.95779,99
419,Monroe St & Bedford Ave,40.6851443,-73.95380904,21
420,Monroe St & Classon Ave,40.6845683,-73.95881081,8
421,Monroe St & Tompkins Ave,40.686203,-73.944694,19
422,Montague St & Clinton St,40.69428114,-73.99230033,15
423,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,101
424,Morris Canal,40.71241882,-74.03852552,0
425,Mott St & Prince St,40.72317958,-73.99480012,166
426,Murray St & West St,40.7149787,-74.013012,30
427,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,97
428,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,22
429,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,9
430,N 11 St & Wythe Ave,40.72153267,-73.95782357,136
431,N 12 St & Bedford Ave,40.72079821,-73.95484712,75
432,N 15 St & Wythe Ave,40.724055,-73.955736,54
433,N 6 St & Bedford Ave,40.71745169,-73.95850939,142
434,N 8 St & Driggs Ave,40.71774592,-73.95600096,101
435,NYCBS Depot - FAR,40.751483,-73.996764,0
436,NYCBS Depot - PIT,40.71690978,-73.98383796,0
437,NYCBS Depot - SSP,40.646768,-74.01651,0
438,NYCBS Depot - STY,40.729193,-73.976655,0
439,NYCBS Depot BAL - DYR,0.00.0,0,0
440,Nassau Ave & Newell St,40.72481256,-73.94752622,29
441,Nassau Ave & Russell St,40.72557,-73.94434,25
442,Nassau St & Navy St,40.69839895,-73.98068914,18
443,Newport Pkwy,40.7287448,-74.0321082,0
