market,month,high,low
South Brooklyn,6/1/13,3500000,83000
South Brooklyn,7/1/13,2850000,50000
South Brooklyn,8/1/13,2200000,85000
South Brooklyn,9/1/13,1550000,89000
South Brooklyn,10/1/13,1780000,95000
South Brooklyn,11/1/13,1270000,82500
South Brooklyn,12/1/13,1445500,55000
South Brooklyn,1/1/14,2320000,90000
South Brooklyn,2/1/14,1722050,48000
South Brooklyn,3/1/14,2150000,47500
South Brooklyn,4/1/14,2500000,75000
South Brooklyn,5/1/14,1370000,70000
South Brooklyn,6/1/14,1625000,62000
South Brooklyn,7/1/14,1499000,80000
South Brooklyn,8/1/14,1825000,35000
South Brooklyn,9/1/14,2750000,102900
South Brooklyn,10/1/14,1355000,80000
South Brooklyn,11/1/14,1525000,87000
South Brooklyn,12/1/14,1650000,60000
South Brooklyn,1/1/15,2175000,87000
South Brooklyn,2/1/15,3850000,105000
South Brooklyn,3/1/15,4400000,100000
South Brooklyn,4/1/15,2150000,95000
South Brooklyn,5/1/15,1245000,105000
South Brooklyn,6/1/15,1700000,90000
South Brooklyn,7/1/15,1750000,90000
South Brooklyn,8/1/15,2060000,120000
South Brooklyn,9/1/15,3100000,93000
South Brooklyn,10/1/15,1850000,95000
South Brooklyn,11/1/15,2100000,71000
South Brooklyn,12/1/15,2010000,105000
